Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
					France	Agriculture, hunting and related service activities	1	0	0
					Liechtenstein	Fishing	1	0	0
					Turkmenistan	Fishing	1	0	0
					Sao Tome and Principe	Agriculture	1	0	0
					Egypt	Agriculture	1	0	0
					Italy	Agriculture, hunting and related service activities	1	0	0
					Georgia	Mining and quarrying	1	0	0
					Georgia	Farming of animals	1	0	0
					Kyrgyzstan	Road transport	1	0	0
					Ecuador	Other Business	1	0	0
					Sweden	Agriculture, hunting and related service activities	1	0	0
					Azerbaijan	Transport	1	0	0
					Kyrgyzstan	Auxiliary transport activities	1	0	0
					Kyrgyzstan	Feeding stuff	1	0	0
					Lithuania	Manufacture of food products and beverages	1	0	0
					Greece	Agriculture, hunting and related service activities	1	0	0
					Spain	Agriculture, livestock and hunting	1	0	0
					Kyrgyzstan	Fruits, berries	1	0	0
					Ukraine	Power	1	0	0
France	Food products and beverages	3154	1109	277.6	Madagascar	Agriculture	318	413	34.9
					Madagascar	Fishing	702	61	15.1
					Seychelles	Fishing	649	69	14.6
					Spain	Fishing	431	221	12.4
					Czech Republic	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	146	64	11.7
					Senegal	Fishing	120	20	11.2
					Belgium	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	145	38	8.4
					Cote dIvoire	Agriculture	138	24	8.1
					Yemen	Fishing	455	4	8.1
					Ireland	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	119	28	7.7
					UK	Fishing 	235	52	7.5
					Morocco	Agriculture	158	20	7.2
					Spain	Agriculture, livestock and hunting	345	97	6.3
					Denmark	Fishing	156	34	6.2
					Netherlands	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	153	34	6.2
					Senegal	Agriculture	149	10	6.1
					Mauritius	Other business activities 	351	1	6
					Tunisia	Fishing	150	34	5.1
					Cote dIvoire	Fishing	117	64	5
					Tanzania	Agriculture	255	61	5
					Cameroon	Agriculture	223	77	4.9
					Luxembourg	Agriculture	83	12	4.7
					Israel	Photographic activities and other business activities n.e.c.	321	1	3.5
					Tunisia	Agriculture	111	9	3.5
					Romania	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	199	59	3.5
					Cuba	Fishing	188	33	3.4
					Belgium	Agriculture, hunting and related service activities	68	13	3.3
					Mauritania	Fishing	120	6	2.6
					Germany	Fishing	107	16	2.5
					Moldova	Agriculture	101	9	2.4
					Antigua	Fishing	155	8	2.4
					Burkina Faso	Agriculture	121	6	2.3
					Denmark	Agricultural services, landscape gardeners etc.	128	3	2.2
					Mali	Agriculture	101	13	2.1
					Seychelles	Agriculture	60	27	2.1
					Ethiopia	Agriculture	116	2	1.7
					UK	Fish farming (non-organic)	88	10	1.6
					Ghana	Agriculture	92	2	1.6
					Netherlands	Agriculture, hunting and related service activities	69	11	1.5
					Iceland	Fishing	54	9	1.5
					Sweden	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	69	6	1.5
					Guinea	Agriculture	71	1	1.2
					Kuwait	Business services except machinery & equipment rental & leasing	111	0	1.2
					Malawi	Agriculture	86	1	1.2
					Italy	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	60	25	1.1
					Swaziland	Agriculture	53	1	1.1
					Morocco	Fishing	41	12	1
					Bulgaria	Agriculture	56	5	1
					Namibia	Agriculture	69	1	1
					New Zealand	Services to agriculture, hunting and trapping	60	0	1
					Mauritania	Agriculture	50	0	0.9
					Norway	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	48	2	0.9
					Iceland	Agriculture	35	3	0.9
					Togo	Agriculture	67	2	0.9
					South Africa	Agriculture	54	4	0.8
					Argentina	Fishing	60	5	0.8
					Sri Lanka	Agriculture	33	1	0.8
					Sierra Leone	Agriculture	61	0	0.7
					Bulgaria	Fishing	38	7	0.7
					Poland	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	38	8	0.7
					UK	Hunting, trapping and game propagation, including related service activities	46	0	0.6
					Argentina	Agricultural services	42	3	0.6
					Hungary	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	33	13	0.6
					Syria	Agriculture	38	0	0.6
					New Zealand	Fishing	39	0	0.6
					Algeria	Mining and Quarrying	33	1	0.5
					Sri Lanka	Fishing	36	1	0.5
					Belgium	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	20	2	0.5
					Suriname	Agriculture	27	1	0.5
					Italy	Agriculture, hunting and related service activities	28	1	0.5
					Germany	Agriculture and hunting	24	0	0.4
					Denmark	Agriculture	17	0	0.4
					Swaziland	Fishing	22	1	0.4
					Costa Rica	Agriculture	19	0	0.4
					Portugal	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	18	4	0.3
					Belgium	Forestry, logging and related service activities	19	0	0.3
					Albania	Agriculture	16	0	0.3
					Algeria	Agriculture	17	0	0.3
					French Polynesia	Fishing	17	0	0.2
					Singapore	Other business & technical services	15	0	0.2
					Egypt	Agriculture	13	0	0.2
					Nicaragua	Agriculture	13	0	0.2
					UK	Agricultural service activities, landscape gardening Change of title for SIC(2003) 	12	1	0.2
					Madagascar	Transport	7	6	0.2
					Guatemala	Agriculture	12	0	0.2
					Chile	Extractive Fishery	10	0	0.1
					Algeria	Transport	10	0	0.1
					Mozambique	Agriculture	9	1	0.1
					Ireland	Agriculture, hunting and related service activities	9	0	0.1
					Greece	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	9	0	0.1
					Switzerland	Agriculture, hunting, forestry, logging, fishing,fish farming and related service activities	8	0	0.1
					Central African Republic	Agriculture	8	0	0.1
					Hungary	Agriculture, hunting and related service activities	9	0	0.1
					Lithuania	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	7	0	0.1
					Chad	Agriculture	6	1	0.1
					Mauritius	Other Agriculture 	6	0	0.1
					Namibia	Fishing	8	0	0.1
					Uganda	Agriculture	6	1	0.1
					Benin	Agriculture	6	0	0.1
					Bahamas	Agriculture	6	0	0.1
					Germany	Crude oil and natural gas	4	0	0.1
					Turkey	Agriculture, hunting and related service activities	6	0	0.1
					Thailand	Silk Worm	5	0	0.1
					Luxembourg	Transport	5	0	0.1
					Guinea	Fishing	3	1	0.1
					Norway	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					USA	Fishing 	3	1	0
					Portugal	Agriculture, hunting and related service activities	3	0	0
					Syria	Mining and Quarrying	3	1	0
					Cote dIvoire	Transport	3	0	0
					Singapore	Aquarium fish	2	1	0
					Israel	Shore and lake fisheries	3	0	0
					Israel	Growing of vegetables (including melons and pumpkins)	3	0	0
					TFYR Macedonia	Agriculture, hunting and related service activities	2	0	0
					Cote dIvoire	Mining and Quarrying	2	0	0
					Liberia	Agriculture	2	0	0
					Bahamas	Fishing	2	0	0
					Niger	Mining and Quarrying	2	0	0
					Israel	Pond culture fisheries	2	0	0
					Azerbaijan	Mining and Quarrying	2	0	0
					Tajikistan	Agriculture	2	0	0
					Luxembourg	Fishing	2	0	0
					Finland	Agriculture, hunting and related service activities	1	0	0
					Belarus	Agriculture	1	0	0
					Spain	Forestry, logging and related service activities	1	0	0
					Senegal	Food & Beverages	1	0	0
					Greece	Agriculture, hunting and related service activities	1	0	0
					Austria	Agriculture, hunting and related service activities	1	0	0
					Ukraine	Agriculture	1	0	0
					Czech Republic	Agriculture, hunting and related service activities	1	0	0
					Cote dIvoire	Food & Beverages	1	0	0
					Netherlands	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	1	0	0
					Cyprus	Agriculture	1	0	0
					Greenland	Coastal fisheries	1	0	0
					Cameroon	Fishing	1	0	0
					Lithuania	Agriculture, hunting and related service activities	1	0	0
					Russia	Mining and quarrying (energy)	1	0	0
					Poland	Agriculture, hunting and related service activities	1	0	0
					Vanuatu	Agriculture	1	0	0
					Greenland	Offshore fisheries	1	0	0
					South Africa	Businessactivities	1	0	0
					Singapore	Other fisheries	1	0	0
USA	General Federal defense government services	2710	250	235	Singapore	Other business & technical services	660	6	20.3
					Indonesia	Transportation	975	33	12.1
					Malaysia	Transport	268	28	11.3
					Honduras	Transport	251	19	11.1
					Cambodia	Transport	465	12	9.7
					Israel	Photographic activities and other business activities n.e.c.	447	6	9.2
					Philippines	Transportation	171	19	8.7
					Mauritius	Other business activities 	365	2	7.4
					Thailand	Ocean Transport	138	14	6.6
					Aruba	Transport	56	10	5.4
					Kuwait	Business services except machinery & equipment rental & leasing	196	2	5.2
					Costa Rica	Transport	158	7	5.2
					Brunei	Transport	126	12	4.7
					Nicaragua	Transport	101	4	4.2
					Ecuador	Other Business	252	2	3.8
					Dominican Republic	Transport	79	4	3.6
					Trinidad and Tobago	Mining and Quarrying	100	5	3.4
					Gabon	Transport	63	20	3.1
					Trinidad and Tobago	Transport	106	3	3.1
					Nigeria	Transport	73	14	3.1
					Kuwait	Water transport	171	0	2.9
					Liberia	Agriculture	122	8	2.9
					Sri Lanka	Transport	115	11	2.9
					Angola	Transport	61	8	2.8
					Venezuela	Crude oil and natural gas	91	6	2.8
					Belize	Transport	87	4	2.8
					Canada	Other Business Activities	142	15	2.5
					Iraq	Transport	63	0	2.4
					Ethiopia	Transport	69	5	2.3
					Bangladesh	Transport	99	4	2
					Canada	Water transport	26	9	2
					Venezuela	Water transport	69	2	2
					Guatemala	Transport	60	4	1.9
					Maldives	Transport	49	2	1.9
					Saudi Arabia	Transport	64	4	1.9
					Haiti	Transport	76	4	1.8
					Congo	Transport	55	8	1.8
					Ecuador	Transport and storage	101	6	1.7
					South Africa	Businessactivities	128	1	1.7
					Saudi Arabia	Mining and Quarrying	108	0	1.7
					El Salvador	Transport	65	3	1.7
					South Korea	Transportation and warehousing	90	3	1.7
					Mexico	Water transport	79	9	1.6
					Trinidad and Tobago	Construction	122	8	1.6
					Mexico	Inland transport of passengers except by rail	79	9	1.5
					Jamaica	Transport	76	4	1.5
					Israel	Water transport	27	0	1.4
					Switzerland	Land transport, transport via pipelines, Water transport, Air transport	82	6	1.4
					Algeria	Transport	83	7	1.4
					Kuwait	Crude petroleum & Natural gas production	115	0	1.4
					Bahamas	Transport	76	3	1.4
					Singapore	Water transport	53	3	1.3
					Qatar	Transport	38	2	1.2
					Oman	Transport	72	1	1.2
					Canada	Land transport, transport via pipelines	48	7	1.2
					Suriname	Transport	43	4	1.2
					Japan	Coastal and inland water transport	29	12	1.2
					Lesotho	Transport	28	0	1.1
					Canada	Mining and quarrying (energy)	36	19	1.1
					British Virgin Islands	Transport	72	3	1
					Liberia	Transport	58	7	1
					Colombia	Bussines services except financial services and real estate	92	0	1
					Fiji	Transport	54	3	1
					South Africa	Transportservices	78	5	1
					Mexico	Petroleum & gas extraction	60	14	1
					Mexico	Air transport	63	3	0.9
					Japan	Ocean transport	29	12	0.8
					Iraq	Mining and Quarrying	49	1	0.8
					Oman	Mining and Quarrying	51	0	0.7
					Ireland	Water transport	23	2	0.7
					Taiwan	Water Transportation	19	7	0.7
					Papua New Guinea	Transport	61	1	0.7
					Mongolia	Transport	47	0	0.6
					Chile	Shipping	28	8	0.6
					Cote dIvoire	Transport	33	6	0.5
					Gabon	Mining and Quarrying	20	0	0.5
					Malta	Water transport	21	1	0.4
					Nigeria	Mining and Quarrying	24	0	0.4
					Iceland	Transport	31	0	0.4
					UAE	Transport	33	1	0.4
					Guinea	Transport	29	5	0.4
					Estonia	Water transport	27	2	0.4
					Macao SAR	Transport	9	0	0.4
					Algeria	Mining and Quarrying	27	0	0.3
					Luxembourg	Transport	19	2	0.3
					Bahrain	Transport	26	2	0.3
					Fiji	Fishing	24	1	0.3
					Ecuador	Crude oil, natural gas and related service activities	18	0	0.2
					Angola	Mining and Quarrying	18	0	0.2
					Panama	Fishing	19	0	0.2
					Madagascar	Transport	7	6	0.2
					Belarus	Transport	13	0	0.2
					Chad	Agriculture	12	1	0.2
					Trinidad and Tobago	Fishing	15	0	0.2
					Germany	Shipping	11	0	0.2
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	12	1	0.2
					Malta	Forestry, logging and related service activities	14	0	0.1
					France	Water transport	8	0	0.1
					Sweden	Water transport	8	0	0.1
					DR Congo	Transport	8	0	0.1
					Denmark	Water transport	8	0	0.1
					Canada	Agriculture, hunting, forestry and fishing	8	1	0.1
					UK	Freight sea and coastal water transport	2	0	0.1
					Bulgaria	Transport	8	0	0.1
					Pakistan	Transport	7	0	0.1
					Moldova	Transport	7	0	0.1
					Belgium	Water transport	6	0	0.1
					Russia	Water transport	2	0	0.1
					Hong Kong	trade and transport	7	0	0.1
					Malawi	Transport	6	0	0.1
					Mauritania	Transport	6	0	0.1
					Mexico	Services related to agriculture and forestry	6	0	0.1
					Italy	Water transport	4	0	0.1
					Bolivia	SERVICES TO BUSINESSES	5	1	0.1
					Yemen	Transport	5	0	0.1
					Slovenia	Water transport	3	0	0.1
					Panama	Transport	5	0	0.1
					Israel	Extraction of crude petroleumand natural gas	4	0	0.1
					New Zealand	Water and rail transport	1	2	0.1
					Brazil	Transport and postal services	5	0	0.1
					Chile	Business service activities	4	0	0.1
					DR Congo	Mining and Quarrying	3	0	0.1
					Netherlands	Water transport	3	0	0
					Ireland	Land transport, transport via pipelines	4	0	0
					Latvia	Water transport	2	0	0
					Costa Rica	Fishing	3	0	0
					Portugal	Water transport	4	0	0
					Romania	Water transport	3	0	0
					Madagascar	Agriculture	3	0	0
					Swaziland	Transport	3	0	0
					Ghana	Transport	3	0	0
					Syria	Transport	3	0	0
					New Zealand	Services to agriculture, hunting and trapping	3	0	0
					Finland	Water transport	2	0	0
					Aruba	Mining and Quarrying	2	0	0
					French Polynesia	Fishing	3	0	0
					Samoa	Fishing	3	0	0
					Malta	Manufacture of radio, television and communication equipment and apparatus	2	0	0
					Peru	Services to Companies	2	0	0
					Uruguay	Water transport	2	0	0
					Malta	Land transport, transport via pipelines	2	0	0
					Trinidad and Tobago	Electricity, Gas and Water	2	0	0
					Norway	Water transport	2	0	0
					TFYR Macedonia	Water transport	1	0	0
					Hungary	Water transport	1	0	0
					Myanmar	Mining and Quarrying	2	0	0
					Morocco	Transport	2	0	0
					Zimbabwe	Transport	2	0	0
					UK	Hunting, trapping and game propagation, including related service activities	2	0	0
					China	Water freight and passangers transport	1	0	0
					Philippines	Crude petroleum and natural gas	1	0	0
					Moldova	Agriculture	1	0	0
					Kuwait	Land transport	1	0	0
					Iceland	Fishing	1	0	0
					Kyrgyzstan	Auxiliary transport activities	1	0	0
					New Zealand	Air transport, services to transport and storage	1	0	0
					Israel	Other transport services	1	0	0
					Lithuania	Water transport	1	0	0
					China	Pipeline transport	1	0	0
					Australia	Pipeline transport	1	0	0
					Congo	Mining and Quarrying	1	0	0
					Singapore	Other freight transport	1	0	0
					Spain	Water transport	1	0	0
					Norway	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	1	0	0
					Mexico	Forest planning	1	0	0
					Algeria	Agriculture	1	0	0
					Nepal	Transport	1	0	0
					Suriname	Fishing	1	0	0
					Bolivia	TRANSPORT AND STORAGE	1	0	0
Japan	Frozen fish and shellfish	2159	709	203.8	Fiji	Fishing	575	15	51.4
					North Korea	Fishing	112	13	31
					USA	Fishing 	870	530	28.6
					New Caledonia	Fishing	559	86	26.9
					Taiwan	Fishery Products	595	23	20.9
					Papua New Guinea	Fishing	709	20	18.8
					Sri Lanka	Fishing	444	11	6.8
					Hong Kong	fisheries	77	6	4.9
					Maldives	Fishing	305	2	4.1
					South Korea	Fishery products	202	24	4.1
					New Zealand	Fishing	119	6	2.1
					Norway	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	59	5	1.1
					French Polynesia	Fishing	37	0	1
					Australia	Aquaculture	67	8	0.9
					Singapore	Aquarium fish	30	1	0.5
					Singapore	Other fisheries	30	1	0.3
					Taiwan	Agricultural Services	12	0	0.1
					Tunisia	Fishing	7	0	0.1
					Australia	Shellfish	3	0	0
					Australia	Raw fish	3	0	0
South Korea	Petroleum refinery products	1371	106	195.9	Qatar	Mining and Quarrying	260	4	33.3
					Oman	Mining and Quarrying	265	2	23.6
					Yemen	Mining and Quarrying	359	1	22.6
					Saudi Arabia	Mining and Quarrying	347	1	20.1
					Indonesia	Crude petroleum and natural gas	236	0	19.5
					Brunei	Mining and Quarrying	360	65	13.4
					Malaysia	Crude petrol, natural gas &coal	217	0	10.8
					UAE	Mining and Quarrying	136	0	10.3
					Kuwait	Crude petroleum & Natural gas production	173	0	8.7
					Brunei	Transport	131	13	5.3
					Brunei	Construction	128	44	4.6
					Brunei	Agriculture	175	17	4.3
					Congo	Mining and Quarrying	147	12	4
					Australia	Crude oil	237	4	3.1
					Oman	Electricity, Gas and Water	180	0	1.9
					Oman	Transport	72	1	1.6
					Congo	Transport	55	8	1.4
					Ecuador	Crude oil, natural gas and related service activities	48	2	1.2
					Ecuador	Other Business	51	1	0.8
					Guinea	Mining and Quarrying	23	1	0.7
					Iraq	Mining and Quarrying	44	0	0.7
					Angola	Mining and Quarrying	23	0	0.7
					Oman	Agriculture	41	1	0.6
					Qatar	Transport	38	2	0.5
					Gabon	Mining and Quarrying	20	0	0.5
					Yemen	Transport	33	2	0.4
					Congo	Construction	23	6	0.4
					Niger	Mining and Quarrying	14	0	0.4
					Brunei	Fishing	21	0	0.3
					Congo	Agriculture	6	0	0.1
					Brunei	Petroleum, Chemical and Non-Metallic Mineral Products	9	0	0.1
					Angola	Transport	5	0	0.1
					Brunei	Electricity, Gas and Water	3	0	0
					Qatar	Electricity, Gas and Water	1	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	2	0	0
					Qatar	Agriculture	2	0	0
					Yemen	Electricity, Gas and Water	1	0	0
					Angola	Agriculture	1	0	0
Japan	Petroleum refinery products (inc. greases)	1470	137	189.7	Viet Nam	Coal	525	20	32.5
					Indonesia	Other metallic ore	618	1	27.5
					Australia	Black coal	606	23	18.7
					Qatar	Mining and Quarrying	165	0	13.5
					UAE	Mining and Quarrying	137	0	12.8
					Brunei	Mining and Quarrying	360	65	12.8
					Saudi Arabia	Mining and Quarrying	346	1	10.4
					Indonesia	Crude petroleum and natural gas	236	0	10.2
					Kuwait	Crude petroleum & Natural gas production	173	0	9.2
					Malaysia	Crude petrol, natural gas &coal	217	0	7.8
					Brunei	Transport	131	13	5.1
					Oman	Mining and Quarrying	199	1	4.5
					Brunei	Construction	128	44	4.4
					Brunei	Agriculture	175	17	4.1
					Australia	LPG, LNG	237	4	3.7
					Viet Nam	Cude oil, natural gas (except exploration)	148	1	2.5
					Australia	Natural gas	211	2	2.3
					Russia	Mining and quarrying (energy)	58	10	2
					Sri Lanka	Mining and Quarrying	112	0	1.6
					North Korea	Mining and Quarrying	31	3	1.3
					Russia	Other Business Activities	82	0	1.1
					Bahrain	Mining and Quarrying	33	0	0.4
					Canada	Mining and quarrying (energy)	22	12	0.4
					Brunei	Fishing	21	0	0.3
					Kuwait	Petroleum refineries	13	0	0.2
					Brunei	Petroleum, Chemical and Non-Metallic Mineral Products	9	0	0.1
					Finland	Mining of coal and lignite, extraction of peat	3	1	0.1
					New Zealand	Coal mining	2	0	0.1
					UAE	Transport	4	0	0
					UAE	Construction	4	0	0
					Brunei	Electricity, Gas and Water	3	0	0
					Qatar	Transport	3	0	0
					Latvia	Mining of coal and lignite, extraction of peat	1	1	0
					Iraq	Mining and Quarrying	2	0	0
					Australia	Railway freight transport services	2	0	0
					Australia	Crude oil	1	0	0
					Qatar	Electricity, Gas and Water	1	0	0
					Denmark	Extr. of crude petroleum, natural gas etc.	1	0	0
					Bahrain	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
					UAE	Electricity, Gas and Water	1	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	1	0	0
India	Construction	1444	77	187.4	Jordan	Mining and Quarrying	334	1	53.1
					Kenya	Quarrying and Mining	334	7	25.5
					Malaysia	Stone, clay & sand quarrying	601	1	14.7
					Israel	Extraction of crude petroleumand natural gas	114	1	9.8
					Thailand	Fluorite	560	0	8.6
					Singapore	Other business & technical services	572	1	7.7
					Tanzania	Mining and Quarrying	399	2	7.4
					Egypt	Mining and Quarrying	332	1	7.1
					Singapore	Other manufacturing	204	0	6
					Nepal	Agriculture	163	9	4.8
					UAE	Mining and Quarrying	135	0	4.3
					Israel	Photographic activities and other business activities n.e.c.	331	1	4.2
					Bhutan	Metal Products	161	23	4.1
					South Africa	Other mining	130	9	4
					South Africa	Businessactivities	155	4	2.6
					Bhutan	Mining and Quarrying	29	1	2.5
					Bhutan	Agriculture	97	7	2.4
					Bhutan	Transport	59	1	2.3
					Zambia	Mining and Quarrying	16	0	1.9
					Nepal	Transport	87	1	1.8
					Afghanistan	Agriculture	92	4	1.6
					Cote dIvoire	Agriculture	71	0	1.2
					Vanuatu	Transport	40	5	1.1
					Morocco	Mining and Quarrying	35	1	0.9
					Myanmar	Agriculture	66	1	0.8
					Bangladesh	Agriculture	56	1	0.7
					South Africa	Transportservices	60	3	0.7
					Nepal	Mining and Quarrying	22	1	0.6
					Bahrain	Mining and Quarrying	42	0	0.6
					Senegal	Mining and Quarrying	21	0	0.5
					Bhutan	Electricity, Gas and Water	17	1	0.5
					Jordan	Transport	31	1	0.4
					Singapore	Other agriculture	19	2	0.3
					Switzerland	Land transport, transport via pipelines, Water transport, Air transport	16	0	0.2
					UK	Operation of gravel and sand pits 	9	2	0.2
					Hong Kong	forestry	12	0	0.2
					Nigeria	Agriculture	13	0	0.2
					Nepal	Metal Products	14	0	0.2
					Belgium	Other mining and quarrying	2	1	0.2
					Bahrain	Transport	12	1	0.2
					Italy	Other mining and quarrying	2	5	0.2
					Israel	Shore and lake fisheries	9	1	0.1
					Sri Lanka	Agriculture	10	0	0.1
					Gabon	Mining and Quarrying	6	0	0.1
					Pakistan	Agriculture	8	0	0.1
					Madagascar	Agriculture	6	0	0.1
					Kuwait	Business services except machinery & equipment rental & leasing	5	0	0.1
					Switzerland	Mining and quarrying 	4	0	0.1
					Norway	Other mining and quarrying	2	1	0.1
					Bhutan	Petroleum, Chemical and Non-Metallic Mineral Products	4	0	0
					Hong Kong	other minerals	3	0	0
					Israel	Pond culture fisheries	3	0	0
					Bhutan	Fishing	3	0	0
					Pakistan	Mining and Quarrying	3	0	0
					Belgium	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Cote dIvoire	Transport	3	0	0
					Nepal	Electricity, Gas and Water	1	1	0
					Ghana	Agriculture	2	0	0
					Tanzania	Agriculture	2	0	0
					Nepal	Petroleum, Chemical and Non-Metallic Mineral Products	2	0	0
					Benin	Transport	2	0	0
					Russia	Other Business Activities	2	0	0
					Bhutan	Wood and Paper	2	0	0
					Israel	Fruit trees (investment to bearing)	1	0	0
					Ecuador	Forestry and logging	1	0	0
					Togo	Agriculture	1	0	0
					Peru	Mineral Products	1	0	0
					Moldova	Agriculture	1	0	0
					Zambia	Transport	1	0	0
					Israel	Forestry	1	0	0
					Israel	Natural rubber (imports)	1	0	0
Saudi Arabia	Food & Beverages	1020	75	186.3	Yemen	Fishing	456	4	65.4
					Oman	Fishing	305	2	36.4
					Syria	Agriculture	174	9	22.6
					Bahrain	Fishing	173	0	20.6
					Yemen	Agriculture	92	6	11
					UAE	Fishing	210	0	4.7
					Ethiopia	Agriculture	175	7	3.4
					Egypt	Agriculture	148	2	3.4
					Lebanon	Agriculture	122	10	3.1
					Ethiopia	Food & Beverages	154	11	2.9
					Oman	Agriculture	92	3	2.2
					Sri Lanka	Agriculture	121	9	2
					Somalia	Agriculture	96	22	1.9
					Jordan	Agriculture	51	1	1.2
					Bahrain	Agriculture	50	0	1.1
					Pakistan	Agriculture	56	1	0.8
					Egypt	Fishing	39	5	0.8
					Pakistan	Fishing	42	1	0.6
					Syria	Fishing	28	3	0.5
					UAE	Agriculture	34	0	0.5
					Kuwait	Agriculture & livestock	26	0	0.4
					Qatar	Fishing	25	0	0.4
					Bangladesh	Agriculture	19	1	0.2
					Ethiopia	Fishing	5	0	0.1
					Morocco	Agriculture	2	0	0
					Gaza Strip	Agriculture	2	0	0
					Malta	Agriculture, hunting and related service activities	1	0	0
					Tunisia	Agriculture	1	0	0
					South Africa	Agriculture	1	0	0
					Senegal	Fishing	1	0	0
					Netherlands	Agriculture, hunting and related service activities	1	0	0
Saudi Arabia	Hotels and Restraurants	841	37	165.5	Yemen	Fishing	458	4	76.6
					Oman	Fishing	305	2	42.1
					Bahrain	Fishing	173	0	23.5
					Syria	Agriculture	172	9	6.9
					UAE	Fishing	210	0	5.2
					Yemen	Agriculture	90	6	3.5
					Ethiopia	Food & Beverages	154	11	2.4
					Egypt	Agriculture	80	0	0.9
					Oman	Agriculture	41	1	0.9
					Egypt	Fishing	39	5	0.8
					Pakistan	Fishing	42	1	0.6
					Qatar	Fishing	25	0	0.5
					Bahrain	Agriculture	20	0	0.4
					Lebanon	Agriculture	20	0	0.4
					Jordan	Agriculture	14	0	0.2
					UAE	Agriculture	13	0	0.2
					Somalia	Agriculture	10	0	0.1
					Syria	Fishing	6	0	0.1
					Ethiopia	Agriculture	8	0	0.1
					Sri Lanka	Agriculture	5	0	0.1
					Malta	Agriculture, hunting and related service activities	1	0	0
					Pakistan	Agriculture	1	0	0
					Senegal	Fishing	1	0	0
USA	Petroleum refineries 	1825	219	154.8	Venezuela	Crude oil and natural gas	580	48	30.4
					Trinidad and Tobago	Mining and Quarrying	253	18	27.4
					Saudi Arabia	Mining and Quarrying	346	1	15.9
					Trinidad and Tobago	Construction	164	27	10.6
					Iraq	Mining and Quarrying	132	1	7.8
					Oman	Mining and Quarrying	201	1	7.4
					Canada	Mining and quarrying (energy)	48	22	5.8
					Mexico	Petroleum & gas extraction	140	19	5.6
					Gabon	Mining and Quarrying	162	43	5.1
					Kuwait	Crude petroleum & Natural gas production	173	0	5.1
					Ecuador	Other Business	272	2	4.6
					Nigeria	Mining and Quarrying	69	17	3.5
					Algeria	Mining and Quarrying	109	15	3.2
					Canada	Other Business Activities	147	16	2.8
					Ecuador	Crude oil, natural gas and related service activities	130	3	2.6
					Colombia	Petroleum, natural gas, and uranium and thorium	99	2	2.3
					Algeria	Transport	83	7	2.1
					Angola	Mining and Quarrying	58	2	1.9
					Venezuela	Other Business Activities	120	4	1.4
					Trinidad and Tobago	Transport	85	3	1.2
					Angola	Transport	59	6	1.1
					Gabon	Transport	50	14	1
					DR Congo	Mining and Quarrying	19	0	0.9
					Algeria	Agriculture	47	1	0.7
					Qatar	Mining and Quarrying	39	0	0.6
					UAE	Mining and Quarrying	36	0	0.5
					Guatemala	Mining and Quarrying	14	2	0.5
					Congo	Mining and Quarrying	13	0	0.3
					Trinidad and Tobago	Agriculture	12	0	0.2
					Cameroon	Mining and Quarrying	16	0	0.2
					Angola	Construction	14	3	0.2
					Cote dIvoire	Mining and Quarrying	15	0	0.2
					Angola	Agriculture	12	0	0.2
					Colombia	Bussines services except financial services and real estate	10	0	0.2
					Trinidad and Tobago	Electricity, Gas and Water	2	0	0.1
					Bolivia	SERVICES TO BUSINESSES	8	2	0.1
					Venezuela	Water transport	7	0	0.1
					Algeria	Construction	5	4	0.1
					Norway	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	5	0	0.1
					Venezuela	Nonresidential construction	7	0	0.1
					Iraq	Transport	6	0	0.1
					Nigeria	Transport	4	0	0.1
					Oman	Transport	4	0	0.1
					Namibia	Mining and Quarrying	3	0	0
					Argentina	Extraction of petroleum, gas, coal and uranium	2	0	0
					Algeria	Electricity, Gas and Water	1	0	0
