Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
					Oman	Agriculture	15	0	0.2
					UAE	Wholesale Trade	12	0	0.2
					UAE	Metal Products	12	0	0.2
					UAE	Electrical and Machinery	12	0	0.1
					Oman	Fishing	5	0	0.1
					UAE	Wood and Paper	2	0	0
					Tanzania	Mining and Quarrying	2	0	0
					Singapore	Other business & technical services	2	0	0
					Turkmenistan	Mining and Quarrying	2	0	0
					UAE	Post and Telecommunications	1	0	0
					UAE	Retail Trade	1	0	0
					Lebanon	Agriculture	1	0	0
USA	Fruit farming	1916	491	262.7	USA	Support activities for agriculture and forestry	1815	344	241
					USA	Fruit farming	172	225	18.4
					Mexico	Services related to agriculture and forestry	173	6	3.2
Angola	Education, Health and Other Services	712	91	262.5	Angola	Education, Health and Other Services	564	54	203.4
					Angola	Agriculture	186	19	21.4
					Angola	Fishing	132	28	17.6
					Angola	Construction	160	34	5.5
					Namibia	Fishing	134	13	4.1
					Angola	Transport	67	9	3.8
					Angola	Petroleum, Chemical and Non-Metallic Mineral Products	176	11	2.6
					Namibia	Agriculture	69	1	1.2
					Namibia	Mining and Quarrying	26	1	1.2
					Angola	Post and Telecommunications	39	2	0.5
					Angola	Wholesale Trade	39	2	0.5
					Angola	Electricity, Gas and Water	11	0	0.3
					Angola	Electrical and Machinery	9	0	0.1
					Namibia	Transport	3	0	0
					Angola	Wood and Paper	2	0	0
					Zambia	Mining and Quarrying	2	0	0
					Angola	Food & Beverages	1	0	0
					South Africa	Businessactivities	1	0	0
Germany	Basic construction	776	138	262.5	Germany	Basic construction	337	70	240.3
					Ethiopia	Construction	152	30	5.4
					Germany	Forestry	95	10	2.1
					Czech Republic	Forestry, logging and related service activities	79	8	2
					Germany	Quarrying of stone and soil	22	3	1.3
					Madagascar	Mining and Quarrying	112	0	1.3
					Liberia	Construction	75	20	1.2
					Hungary	Construction	52	14	1.1
					Czech Republic	Construction	44	19	0.9
					Belarus	Construction	40	10	0.7
					Namibia	Mining and Quarrying	26	1	0.7
					Germany	Road and pipeline transport	33	0	0.6
					Slovenia	Construction	32	4	0.5
					Israel	Construction for water supply and for electricity distribution 	22	5	0.4
					Luxembourg	Mining and Quarrying	18	2	0.3
					Slovakia	Forestry, logging and related service activities	21	1	0.3
					Portugal	Forestry, logging and related service activities	21	0	0.3
					Germany	Wood and wood products	18	1	0.3
					Hungary	Forestry, logging and related service activities	20	1	0.3
					Poland	Forestry, logging and related service activities	19	1	0.3
					Romania	Forestry, logging and related service activities	21	1	0.3
					Latvia	Forestry, logging and related service activities	17	0	0.2
					Slovenia	Forestry, logging and related service activities	20	0	0.2
					Lithuania	Forestry, logging and related service activities	14	1	0.2
					Austria	Other mining and quarrying	5	1	0.1
					Austria	Construction	8	0	0.1
					Hungary	Other mining and quarrying	4	1	0.1
					Thailand	Other Constructions	8	0	0.1
					Belgium	Construction	7	0	0.1
					Netherlands	Other mining and quarrying	2	1	0.1
					Syria	Mining and Quarrying	4	1	0.1
					Israel	Photographic activities and other business activities n.e.c.	5	0	0.1
					Netherlands	Construction	5	0	0.1
					Slovakia	Construction	5	0	0.1
					Poland	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					France	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Germany	Crude oil and natural gas	4	0	0
					Czech Republic	Land transport, transport via pipelines	4	0	0
					Singapore	Other business & technical services	3	0	0
					Libya	Mining and Quarrying	3	0	0
					Kyrgyzstan	Other construction	3	0	0
					Norway	Other mining and quarrying	2	1	0
					Germany	Electricity and district heat	2	0	0
					Estonia	Other mining and quarrying	1	1	0
					Liberia	Agriculture	2	0	0
					Azerbaijan	Mining and Quarrying	2	0	0
					Cameroon	Agriculture	2	0	0
					Congo	Agriculture	2	0	0
					Ireland	Construction	2	0	0
					Austria	Forestry, logging and related service activities	1	1	0
					Belgium	Forestry, logging and related service activities	1	0	0
					Estonia	Forestry, logging and related service activities	1	0	0
					South Africa	Businessactivities	1	0	0
					Bosnia and Herzegovina	Agriculture	1	0	0
Cote dIvoire	Education, Health and Other Services	714	141	262.2	Cote dIvoire	Education, Health and Other Services	611	74	249.5
					Cote dIvoire	Construction	213	55	5.7
					Cote dIvoire	Fishing	117	64	2.4
					Cote dIvoire	Transport	59	10	2.1
					Cote dIvoire	Mining and Quarrying	23	0	1.1
					Cote dIvoire	Electricity, Gas and Water	14	0	0.7
					Cote dIvoire	Petroleum, Chemical and Non-Metallic Mineral Products	41	5	0.6
					Cote dIvoire	Electrical and Machinery	4	0	0
					Cote dIvoire	Post and Telecommunications	4	0	0
					Cote dIvoire	Wholesale Trade	1	0	0
India	Hotels and restaurants	2321	423	261.6	India	Animal services(agricultural)	1865	324	208.4
					India	Hotels and restaurants	1350	212	28
					India	Other crops	234	64	5.8
					India	Other transport services	261	19	3.4
					India	Paddy	208	44	3.2
					Nepal	Agriculture	163	9	2.7
					India	Forestry and logging	196	22	2.6
					India	Other livestock products	65	11	1.9
					Afghanistan	Agriculture	95	4	1.8
					India	Crude petroleum, natural gas	146	2	1.7
					India	Fishing	105	11	1.7
					India	Wheat	18	1	0.2
					Nepal	Fishing	6	0	0.1
					Myanmar	Agriculture	4	0	0
					India	Electricity	1	1	0
					Sri Lanka	Agriculture	1	0	0
					Pakistan	Agriculture	1	0	0
					Bhutan	Agriculture	1	0	0
Eritrea	Public Administration	683	16	261.6	Eritrea	Public Administration	588	8	81.8
					Eritrea	Construction	495	8	47.6
					Eritrea	Mining and Quarrying	336	0	33.7
					Eritrea	Electricity, Gas and Water	322	0	25.7
					Eritrea	Transport	473	4	21.9
					Eritrea	Education, Health and Other Services	432	8	18
					Eritrea	Fishing	431	4	13.4
					Eritrea	Agriculture	89	1	8.1
					Eritrea	Post and Telecommunications	410	0	5.7
					Eritrea	Petroleum, Chemical and Non-Metallic Mineral Products	410	0	5.1
					Eritrea	Electrical and Machinery	17	0	0.3
					Eritrea	Wholesale Trade	17	0	0.2
					Eritrea	Wood and Paper	17	0	0.2
					Eritrea	Transport Equipment	2	0	0
					Eritrea	Metal Products	1	0	0
Mauritius	Other professional, scientific and technical services 	732	28	261	Mauritius	Other business activities 	732	28	260.7
					Mauritius	Other business activities GG 	16	0	0.2
Uganda	Food & Beverages	795	81	260	Uganda	Fishing	219	22	122.3
					Uganda	Agriculture	406	28	95.1
					Uganda	Food & Beverages	574	54	27.7
					Uganda	Transport	146	13	7.7
					Uganda	Electricity, Gas and Water	92	0	2.5
					Kenya	Quarrying and Mining	98	4	2.1
					Uganda	Mining and Quarrying	108	0	1.9
					Tanzania	Fishing	45	5	0.7
					Uganda	Construction	8	0	0.1
					Uganda	Petroleum, Chemical and Non-Metallic Mineral Products	2	0	0
					Uganda	Wholesale Trade	2	0	0
Peru	Services to Companies	1149	187	257.6	Peru	Services to merchant homes	807	128	160.2
					Peru	Services to Companies	911	134	94.6
					Peru	Transport service and Communications	101	8	2.1
					Peru	Fishing Products	38	1	0.5
					Peru	Crude oil	13	0	0.2
					Peru	Agricultural, Hunting and Forestry products	1	0	0
Ecuador	Rental Housing Services	1248	526	256.6	Ecuador	Other Business	993	364	138.6
					Ecuador	Construction	596	380	61.4
					Ecuador	Rental housing	793	86	55.5
					Ecuador	Forestry and logging	46	8	0.7
					Ecuador	Crude oil, natural gas and related service activities	18	0	0.2
Ghana	Education, Health and Other Services	656	136	256	Ghana	Education, Health and Other Services	600	68	249.8
					Ghana	Fishing	127	88	2.5
					Ghana	Transport	65	10	2.1
					Ghana	Construction	28	18	0.6
					Ghana	Electricity, Gas and Water	14	1	0.5
					Ghana	Mining and Quarrying	15	0	0.5
					Ghana	Agriculture	2	0	0
					Ghana	Wholesale Trade	1	0	0
					Ghana	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
Saudi Arabia	Public Administration	971	43	255.8	Saudi Arabia	Public Administration	614	11	109.2
					Saudi Arabia	Construction	471	13	29.6
					Saudi Arabia	Education, Health and Other Services	456	11	21
					Saudi Arabia	Fishing	444	6	17.3
					Saudi Arabia	Electricity, Gas and Water	331	1	16.9
					Yemen	Fishing	455	4	10.6
					Saudi Arabia	Transport	411	6	9.8
					Saudi Arabia	Agriculture	96	0	9.6
					Oman	Fishing	295	2	5.9
					Saudi Arabia	Post and Telecommunications	415	1	4.5
					Syria	Agriculture	172	9	4.4
					Saudi Arabia	Electrical and Machinery	415	1	4.3
					Ethiopia	Transport	91	6	4.2
					Bahrain	Fishing	173	0	3.4
					Yemen	Agriculture	90	6	2.1
					Zambia	Transport	49	3	0.9
					Bahrain	Transport	35	2	0.5
					Saudi Arabia	Wood and Paper	17	1	0.2
					Saudi Arabia	Wholesale Trade	17	1	0.2
					Saudi Arabia	Petroleum, Chemical and Non-Metallic Mineral Products	17	1	0.2
					Syria	Transport	13	0	0.2
					Lebanon	Agriculture	13	0	0.2
					Bahrain	Agriculture	7	0	0.1
					North Korea	Transport	7	0	0.1
					Oman	Agriculture	7	0	0.1
					Somalia	Transport	6	0	0.1
					Kuwait	Business services except machinery & equipment rental & leasing	5	0	0.1
					Egypt	Agriculture	5	0	0.1
					Saudi Arabia	Transport Equipment	3	0	0
					Romania	Forestry, logging and related service activities	1	1	0
					Somalia	Agriculture	1	0	0
					UAE	Fishing	1	0	0
					Sri Lanka	Agriculture	1	0	0
					Ethiopia	Agriculture	1	0	0
					Jordan	Transport	1	0	0
					Jordan	Agriculture	1	0	0
Tanzania	Public Administration	1405	579	255.1	Tanzania	Public Administration	1245	470	153.3
					Tanzania	Construction	598	224	42.1
					Tanzania	Education, Health and Other Services	547	162	17.2
					Tanzania	Transport	511	60	16.8
					Tanzania	Electricity, Gas and Water	382	1	16.1
					Tanzania	Mining and Quarrying	297	1	5.8
					Tanzania	Electrical and Machinery	70	39	1.6
					Tanzania	Petroleum, Chemical and Non-Metallic Mineral Products	70	39	1.4
					Tanzania	Agriculture	30	1	0.5
					Tanzania	Post and Telecommunications	11	2	0.2
					Tanzania	Transport Equipment	11	2	0.1
					Tanzania	Fishing	1	0	0
					Kenya	Quarrying and Mining	1	0	0
Bolivia	CONSTRUCTION	483	203	253.5	Bolivia	CONSTRUCTION	388	146	195.6
					Bolivia	FORESTRY, HUNTING AND FISHING	194	54	28.1
					Bolivia	SERVICES TO BUSINESSES	362	144	26.5
					Bolivia	NON-METALLIC MINERAL PRODUCTS	119	19	1.6
					Bolivia	TRANSPORT AND STORAGE	56	11	1.4
					Bolivia	COMMUNITY, SOCIAL AND PERSONAL SERVICES	14	2	0.2
					Bolivia	METAL AND NON-METALLIC MINERALS	7	0	0.1
Eritrea	Food & Beverages	665	13	253.5	Eritrea	Fishing	441	4	156.6
					Eritrea	Agriculture	612	9	63
					Eritrea	Food & Beverages	588	8	25.8
					Eritrea	Electricity, Gas and Water	321	0	3.6
					Eritrea	Mining and Quarrying	115	0	2.6
					Eritrea	Transport	59	4	1.8
Croatia	Education, Health and Other Services	616	113	253	Croatia	Education, Health and Other Services	396	73	211.5
					Croatia	Agriculture	247	23	11.4
					Croatia	Transport	178	34	10.3
					Croatia	Fishing	225	70	7.8
					Croatia	Construction	183	60	7.5
					Croatia	Mining and Quarrying	39	8	2.1
					Croatia	Electricity, Gas and Water	18	2	1.4
					Bosnia and Herzegovina	Mining and Quarrying	24	7	0.6
					Croatia	Petroleum, Chemical and Non-Metallic Mineral Products	19	0	0.2
					Bosnia and Herzegovina	Agriculture	7	0	0.1
					Croatia	Wholesale Trade	3	0	0
					Croatia	Post and Telecommunications	3	0	0
					Slovenia	Agriculture, hunting and related service activities	1	0	0
Gabon	Education, Health and Other Services	607	203	251.4	Gabon	Education, Health and Other Services	499	160	225.2
					Gabon	Fishing	101	30	10.1
					Gabon	Transport	72	25	5.4
					Gabon	Construction	172	81	4.9
					Gabon	Petroleum, Chemical and Non-Metallic Mineral Products	158	43	2.6
					Gabon	Agriculture	101	14	2.4
					Gabon	Electricity, Gas and Water	17	0	0.6
					Gabon	Post and Telecommunications	8	1	0.1
					Gabon	Wholesale Trade	8	1	0.1
					Gabon	Electrical and Machinery	3	0	0
					Gabon	Wood and Paper	1	0	0
					Gabon	Food & Beverages	1	0	0
					Gabon	Hotels and Restraurants	1	0	0
Bangladesh	Construction	448	82	251.2	Bangladesh	Construction	397	80	221.4
					Bangladesh	Transport	135	9	8.5
					Bangladesh	Mining and Quarrying	32	1	5.8
					Bangladesh	Agriculture	147	8	4.5
					Bangladesh	Petroleum, Chemical and Non-Metallic Mineral Products	151	11	3.7
					Bangladesh	Metal Products	151	11	3.6
					Bangladesh	Electrical and Machinery	151	11	2.3
					Bangladesh	Wood and Paper	58	2	0.8
					Bangladesh	Electricity, Gas and Water	14	0	0.4
					Bangladesh	Wholesale Trade	13	0	0.2
Guinea	Education, Health and Other Services	725	92	250.9	Guinea	Education, Health and Other Services	584	65	224.2
					Guinea	Agriculture	140	20	8.9
					Guinea	Fishing	115	34	7.5
					Guinea	Construction	205	33	4.6
					Guinea	Transport	81	7	4
					Guinea	Electricity, Gas and Water	23	2	0.7
					Guinea	Petroleum, Chemical and Non-Metallic Mineral Products	38	7	0.7
					Guinea	Post and Telecommunications	10	1	0.2
					Guinea	Wholesale Trade	10	1	0.2
					Guinea	Wood and Paper	1	0	0
					Guinea	Electrical and Machinery	1	0	0
Cambodia	Textiles and Wearing Apparel	1075	108	250.2	Cambodia	Textiles and Wearing Apparel	788	75	72.8
					Cambodia	Agriculture	324	22	42.1
					Cambodia	Mining and Quarrying	360	0	31.6
					Cambodia	Electricity, Gas and Water	343	0	27.7
					Cambodia	Transport	529	20	23.1
					Cambodia	Petroleum, Chemical and Non-Metallic Mineral Products	788	75	19.9
					Cambodia	Construction	521	28	13.3
					Cambodia	Wholesale Trade	522	17	7.6
					Cambodia	Fishing	479	6	7.5
					Cambodia	Education, Health and Other Services	387	1	4.3
					Cambodia	Wood and Paper	18	0	0.2
					Cambodia	Electrical and Machinery	1	0	0
Mozambique	Public Administration	1082	154	249.9	Mozambique	Public Administration	913	104	141.9
					Mozambique	Electricity, Gas and Water	331	2	23.7
					Mozambique	Construction	532	97	23.3
					Mozambique	Transport	483	29	16.9
					Mozambique	Mining and Quarrying	343	4	15.5
					Mozambique	Education, Health and Other Services	446	30	10.9
					Mozambique	Post and Telecommunications	501	37	6.2
					Mozambique	Fishing	496	13	6.2
					Mozambique	Agriculture	184	14	4.6
					Mozambique	Petroleum, Chemical and Non-Metallic Mineral Products	37	4	0.5
					Mozambique	Electrical and Machinery	9	0	0.1
					Swaziland	Transport	1	0	0
					Mozambique	Wholesale Trade	1	0	0
					Mozambique	Wood and Paper	1	0	0
Serbia	Education, Health and Other Services	466	120	248.4	Serbia	Education, Health and Other Services	268	55	175.4
					Serbia	Agriculture	174	23	17.9
					Serbia	Fishing	149	55	16.3
					Serbia	Transport	124	24	13.2
					Serbia	Construction	153	44	8.7
					Serbia	Mining and Quarrying	36	7	6
					Slovakia	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	150	53	3.1
					Serbia	Electricity, Gas and Water	80	8	3.1
					Serbia	Petroleum, Chemical and Non-Metallic Mineral Products	78	6	1.9
					South Sudan	Fishing	20	2	0.4
					Portugal	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	27	5	0.4
					Liechtenstein	Fishing	20	0	0.3
					Serbia	Wholesale Trade	18	0	0.3
					Serbia	Electrical and Machinery	18	0	0.3
					Monaco	Fishing	12	1	0.2
					Serbia	Wood and Paper	18	0	0.2
					Serbia	Post and Telecommunications	18	0	0.2
					Seychelles	Fishing	10	0	0.2
					Vanuatu	Fishing	4	0	0.1
					Tanzania	Fishing	4	0	0.1
					Latvia	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Georgia	Fishing and fish farming	2	0	0
					Ethiopia	Construction	2	0	0
					TFYR Macedonia	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Monaco	Agriculture	1	0	0
					Montenegro	Agriculture	1	0	0
					Moldova	Agriculture	1	0	0
					Serbia	Metal Products	1	0	0
					Serbia	Food & Beverages	1	0	0
					Aruba	Agriculture	1	0	0
					Georgia	Real estate, renting and business activities	1	0	0
Peru	Services to Companies	1002	142	247.4	Peru	Services to Companies	966	142	246.1
					Peru	Fishing Products	39	1	0.6
					Ecuador	Other Business	32	0	0.4
					Peru	Transport service and Communications	16	1	0.2
					Peru	Construction	4	0	0
					Peru	Crude oil	1	0	0
Guatemala	Construction	568	127	247.3	Guatemala	Construction	548	125	242.4
					Guatemala	Transport	70	6	3
					Guatemala	Mining and Quarrying	18	3	0.9
					Guatemala	Petroleum, Chemical and Non-Metallic Mineral Products	32	3	0.4
					Guatemala	Metal Products	32	3	0.4
					Guatemala	Electricity, Gas and Water	8	1	0.2
Antigua	Education, Health and Other Services	290	25	246.2	Antigua	Education, Health and Other Services	230	23	211.5
					Antigua	Transport	128	14	10.3
					Antigua	Fishing	155	8	7
					Antigua	Electricity, Gas and Water	59	1	5.8
					Antigua	Construction	130	19	4.8
					Antigua	Mining and Quarrying	56	0	3.9
					Antigua	Agriculture	21	2	1.5
					Antigua	Petroleum, Chemical and Non-Metallic Mineral Products	85	4	1.2
					Antigua	Post and Telecommunications	4	1	0.1
					Antigua	Wholesale Trade	4	1	0.1
Gabon	Construction	607	203	246	Gabon	Construction	558	181	225.2
					Gabon	Transport	82	37	7.9
					Gabon	Petroleum, Chemical and Non-Metallic Mineral Products	158	43	3.8
					Gabon	Metal Products	158	43	2.6
					Gabon	Fishing	101	30	2.2
					Gabon	Agriculture	101	14	1.9
					Gabon	Wholesale Trade	28	14	0.6
					Gabon	Education, Health and Other Services	33	13	0.6
					Gabon	Electrical and Machinery	28	14	0.6
					Gabon	Electricity, Gas and Water	15	0	0.3
					Gabon	Retail Trade	8	1	0.1
					Gabon	Wood and Paper	8	1	0.1
					Gabon	Post and Telecommunications	3	0	0
Bahrain	Education, Health and Other Services	293	4	245.7	Bahrain	Education, Health and Other Services	269	4	218.6
					Bahrain	Construction	180	4	9.2
					Bahrain	Electricity, Gas and Water	109	0	6.1
					Bahrain	Fishing	173	0	5.2
					Bahrain	Agriculture	50	0	2.6
					Bahrain	Mining and Quarrying	118	0	2.1
					Bahrain	Transport	37	2	1.6
					Bahrain	Petroleum, Chemical and Non-Metallic Mineral Products	6	0	0.1
					Bahrain	Electrical and Machinery	1	0	0
					Bahrain	Post and Telecommunications	1	0	0
					Bahrain	Wood and Paper	1	0	0
					Bahrain	Wholesale Trade	1	0	0
Montenegro	Education, Health and Other Services	473	74	245.1	Montenegro	Education, Health and Other Services	320	42	175.6
					Montenegro	Fishing	172	38	19.1
					Montenegro	Agriculture	181	17	18.3
					Montenegro	Transport	193	23	16.1
					Montenegro	Construction	148	36	6.1
					Montenegro	Mining and Quarrying	37	5	4.5
					Montenegro	Electricity, Gas and Water	90	3	2.7
					Montenegro	Wholesale Trade	88	3	1.3
					Montenegro	Petroleum, Chemical and Non-Metallic Mineral Products	88	3	1.1
					Montenegro	Post and Telecommunications	17	0	0.2
					South Sudan	Fishing	4	0	0
					Montenegro	Wood and Paper	1	0	0
					Montenegro	Hotels and Restraurants	1	0	0
British Virgin Islands	Education, Health and Other Services	292	33	244.7	British Virgin Islands	Education, Health and Other Services	228	32	219.3
					British Virgin Islands	Fishing	147	15	6.7
					British Virgin Islands	Transport	132	23	5.6
					British Virgin Islands	Electricity, Gas and Water	55	0	4.7
					British Virgin Islands	Construction	129	28	4
					British Virgin Islands	Mining and Quarrying	59	1	2.7
					British Virgin Islands	Agriculture	21	7	1.6
					British Virgin Islands	Petroleum, Chemical and Non-Metallic Mineral Products	3	1	0.1
					British Virgin Islands	Post and Telecommunications	3	1	0
					British Virgin Islands	Wholesale Trade	3	1	0
Japan	Petroleum refinery products (inc. greases)	1490	150	244.6	Japan	Petroleum refinery products (inc. greases)	180	3	54.2
					Viet Nam	Coal	525	20	32.5
					Indonesia	Other metallic ore	618	1	27.5
					Australia	Black coal	606	23	18.7
					Qatar	Mining and Quarrying	165	0	13.5
					UAE	Mining and Quarrying	137	0	12.8
					Brunei	Mining and Quarrying	360	65	12.8
					Saudi Arabia	Mining and Quarrying	346	1	10.4
					Indonesia	Crude petroleum and natural gas	236	0	10.2
					Kuwait	Crude petroleum & Natural gas production	173	0	9.2
					Malaysia	Crude petrol, natural gas &coal	217	0	7.8
					Brunei	Transport	131	13	5.1
					Oman	Mining and Quarrying	199	1	4.5
					Brunei	Construction	128	44	4.4
					Brunei	Agriculture	175	17	4.1
					Australia	LPG, LNG	237	4	3.7
					Viet Nam	Cude oil, natural gas (except exploration)	148	1	2.5
					Australia	Natural gas	211	2	2.3
					Russia	Mining and quarrying (energy)	58	10	2
					Sri Lanka	Mining and Quarrying	112	0	1.6
					North Korea	Mining and Quarrying	31	3	1.3
					Russia	Other Business Activities	82	0	1.1
					Japan	Coastal and inland water transport	29	12	0.6
					Bahrain	Mining and Quarrying	33	0	0.4
					Canada	Mining and quarrying (energy)	22	12	0.4
					Brunei	Fishing	21	0	0.3
					Kuwait	Petroleum refineries	13	0	0.2
					Brunei	Petroleum, Chemical and Non-Metallic Mineral Products	9	0	0.1
					Finland	Mining of coal and lignite, extraction of peat	3	1	0.1
					New Zealand	Coal mining	2	0	0.1
					UAE	Transport	4	0	0
					UAE	Construction	4	0	0
					Brunei	Electricity, Gas and Water	3	0	0
					Japan	Activities not elsewhere classified	2	1	0
					Qatar	Transport	3	0	0
					Latvia	Mining of coal and lignite, extraction of peat	1	1	0
					Iraq	Mining and Quarrying	2	0	0
					Australia	Railway freight transport services	2	0	0
					Australia	Crude oil	1	0	0
					Qatar	Electricity, Gas and Water	1	0	0
					Denmark	Extr. of crude petroleum, natural gas etc.	1	0	0
					Bahrain	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
					UAE	Electricity, Gas and Water	1	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	1	0	0
Romania	Fish and other fishing products, services incidental of fishing	271	66	244	Romania	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	271	66	244
Barbados	Education, Health and Other Services	287	20	244	Barbados	Education, Health and Other Services	229	19	219.6
					Barbados	Transport	121	12	6
					Barbados	Fishing	148	3	5
					Barbados	Electricity, Gas and Water	53	0	4.2
					Barbados	Mining and Quarrying	57	2	3.6
					Barbados	Construction	116	18	3.4
					Barbados	Agriculture	21	1	1.2
					Barbados	Petroleum, Chemical and Non-Metallic Mineral Products	82	3	0.9
Angola	Food & Beverages	671	89	242	Angola	Agriculture	300	29	113.1
					Angola	Fishing	143	28	88.7
					Namibia	Fishing	134	13	15.1
					Angola	Food & Beverages	519	44	14.7
					Namibia	Agriculture	160	11	8.5
					Angola	Transport	59	6	1.3
					Sao Tome and Principe	Agriculture	11	0	0.2
					Namibia	Mining and Quarrying	7	0	0.1
					South Africa	Agriculture	7	1	0.1
					Portugal	Agriculture, hunting and related service activities	2	0	0
					Angola	Electricity, Gas and Water	1	0	0
					Angola	Wholesale Trade	1	0	0
					Zambia	Agriculture	1	0	0
					Angola	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
Taiwan	Other Foods	1415	74	241.6	Taiwan	Agricultural Services	1301	54	205
					Taiwan	Salt	467	1	15.3
					Taiwan	Fishery Products	579	23	14.1
					Taiwan	Other Special Crops	32	6	4.4
					Zimbabwe	Agriculture	89	0	1.4
					Taiwan	Other Poultry & Livestock	14	2	0.5
					Taiwan	Slaughtering & By-Products	25	3	0.4
					Taiwan	Hogs	12	1	0.3
					Taiwan	Coarse Grain Crops	4	0	0.1
					Hong Kong	fisheries	4	0	0
					Taiwan	Other Horticultural Crops	4	0	0
Bangladesh	Education, Health and Other Services	468	83	241.3	Bangladesh	Education, Health and Other Services	385	76	226.9
					Bangladesh	Transport	100	4	3.7
					Bangladesh	Agriculture	147	8	3.1
					Bangladesh	Construction	131	24	2.8
					Bangladesh	Fishing	126	7	1.9
					Bangladesh	Mining and Quarrying	32	1	1.4
					Bangladesh	Petroleum, Chemical and Non-Metallic Mineral Products	58	2	0.8
					Bangladesh	Electricity, Gas and Water	14	0	0.6
					Bangladesh	Electrical and Machinery	1	0	0
Austria	Construction work	403	88	241.1	Austria	Construction	291	73	222
					Austria	Land transport, transport via pipelines	79	7	5.1
					Austria	Forestry, logging and related service activities	92	10	4.2
					Austria	Agriculture, hunting and related service activities	119	16	2.4
					Hungary	Forestry, logging and related service activities	89	9	1.8
					Austria	Other mining and quarrying	16	2	1.8
					Austria	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	23	5	1.3
					Austria	Electricity, gas, steam and hot water supply	12	2	0.7
					Czech Republic	Forestry, logging and related service activities	24	1	0.5
					Slovakia	Forestry, logging and related service activities	24	1	0.5
					Austria	Air transport	21	2	0.3
					Germany	Forestry	24	1	0.3
					Hungary	Other mining and quarrying	4	1	0.1
					Romania	Forestry, logging and related service activities	2	1	0
					Hungary	Construction	4	0	0
					Austria	Wholesale trade and commission trade, except of motor vehicles and motorcycles	3	0	0
					Italy	Forestry, logging and related service activities	1	1	0
					Austria	Manufacture of other non-metallic mineral products	2	0	0
					Bosnia and Herzegovina	Agriculture	1	0	0
					Slovenia	Forestry, logging and related service activities	1	0	0
Argentina	Prepared or preserved fish	368	51	238.7	Argentina	Fishing	262	47	233.6
					Argentina	Agricultural services	244	15	5.1
Morocco	Construction	579	135	238.6	Morocco	Construction	500	127	217.7
					Morocco	Transport	152	45	10.9
					Morocco	Agriculture	158	20	3.6
					Morocco	Petroleum, Chemical and Non-Metallic Mineral Products	99	23	2.1
					Morocco	Mining and Quarrying	35	1	1.9
					Morocco	Metal Products	99	23	1.5
					Morocco	Electricity, Gas and Water	12	0	0.5
					Morocco	Wholesale Trade	18	3	0.3
					Morocco	Wood and Paper	4	0	0.1
					Morocco	Electrical and Machinery	4	0	0.1
					Morocco	Retail Trade	2	0	0
Switzerland	Products of agriculture, forestry and fishing 	720	88	238.4	Switzerland	Agriculture, hunting, forestry, logging, fishing,fish farming and related service activities	295	68	229.6
					Sri Lanka	Fishing	444	11	7.6
					Austria	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	38	12	0.6
					Germany	Fishing	21	3	0.3
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	11	1	0.1
					Denmark	Fishing	2	0	0
					France	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Ghana	Agriculture	2	0	0
Pakistan	Food & Beverages	547	47	237.9	Pakistan	Fishing	248	19	137.1
					Pakistan	Agriculture	299	11	66.5
					Pakistan	Food & Beverages	437	22	20
					Pakistan	Transport	209	15	6.5
					Pakistan	Electricity, Gas and Water	104	0	2.9
					Pakistan	Mining and Quarrying	125	0	2.8
					Pakistan	Construction	140	8	1.7
					Tanzania	Agriculture	9	1	0.1
					Pakistan	Wholesale Trade	3	0	0
					Pakistan	Petroleum, Chemical and Non-Metallic Mineral Products	3	0	0
					Singapore	Other agriculture	2	0	0
Thailand	Non-Agricultural Public Works	917	98	237.9	Thailand	Non-Agricultural Public Works	856	95	226.8
					Myanmar	Mining and Quarrying	353	1	7.2
					Thailand	Petroleum and Natural Gas	199	0	2
					Yemen	Mining and Quarrying	109	0	1.2
					Thailand	Cutlery and Hand Tools	19	2	0.3
					Thailand	Furniture and Fixtures Metal	19	2	0.2
					Thailand	Stone Quarrying	7	0	0.1
					Laos	Agriculture	0	2	0
Poland	Construction work	410	96	236	Poland	Construction	255	65	209.4
